INDEX;MESS_DATUM;LUFTTEMP_INT;LUFTTEMP_FLOAT;LUFTFEUCHTIGKEIT;
100000;2023123123;66;6,6;77;
100001;2023123122;69;6,9;78;
100002;2023123121;72;7,2;78;
100003;2023123120;69;6,9;81;
100004;2023123119;70;7,0;84;
100005;2023123118;74;7,4;77;
100006;2023123117;76;7,6;78;
100007;2023123116;74;7,4;77;
100008;2023123115;78;7,8;74;
100009;2023123114;80;8,0;73;
100010;2023123113;78;7,8;74;
100011;2023123112;77;7,7;74;
100012;2023123111;70;7,0;76;
100013;2023123110;63;6,3;78;
100014;2023123109;62;6,2;82;
100015;2023123108;53;5,3;85;
100016;2023123107;47;4,7;87;
100017;2023123106;44;4,4;88;
100018;2023123105;44;4,4;90;
100019;2023123104;41;4,1;89;
100020;2023123103;47;4,7;88;
100021;2023123102;51;5,1;86;
100022;2023123101;60;6,0;82;
100023;2023123100;57;5,7;83;
100024;2023123023;55;5,5;81;
100025;2023123022;53;5,3;78;
100026;2023123021;48;4,8;78;
100027;2023123020;52;5,2;79;
100028;2023123019;59;5,9;79;
100029;2023123018;60;6,0;76;
100030;2023123017;62;6,2;74;
100031;2023123016;64;6,4;69;
100032;2023123015;69;6,9;68;
100033;2023123014;76;7,6;68;
100034;2023123013;78;7,8;68;
100035;2023123012;76;7,6;69;
100036;2023123011;74;7,4;71;
100037;2023123010;67;6,7;72;
100038;2023123009;62;6,2;75;
100039;2023123008;61;6,1;75;
100040;2023123007;63;6,3;76;
100041;2023123006;69;6,9;75;
100042;2023123005;73;7,3;77;
100043;2023123004;75;7,5;82;
100044;2023123003;76;7,6;86;
100045;2023123002;78;7,8;80;
100046;2023123001;79;7,9;87;
100047;2023123000;74;7,4;88;
100048;2023122923;93;9,3;86;
100049;2023122922;81;8,1;93;
100050;2023122921;84;8,4;86;
100051;2023122920;94;9,4;76;
100052;2023122919;106;10,6;69;
100053;2023122918;104;10,4;74;
100054;2023122917;103;10,3;73;
100055;2023122916;108;10,8;71;
100056;2023122915;111;11,1;68;
100057;2023122914;108;10,8;69;
100058;2023122913;109;10,9;69;
100059;2023122912;112;11,2;62;
100060;2023122911;111;11,1;62;
100061;2023122910;105;10,5;66;
100062;2023122909;100;10,0;67;
100063;2023122908;96;9,6;67;
100064;2023122907;97;9,7;68;
100065;2023122906;94;9,4;71;
100066;2023122905;89;8,9;70;
100067;2023122904;88;8,8;71;
100068;2023122903;86;8,6;71;
100069;2023122902;84;8,4;72;
100070;2023122901;83;8,3;73;
100071;2023122900;83;8,3;74;
100072;2023122823;84;8,4;75;
100073;2023122822;80;8,0;75;
100074;2023122821;82;8,2;73;
100075;2023122820;90;9,0;70;
100076;2023122819;91;9,1;70;
100077;2023122818;94;9,4;71;
100078;2023122817;95;9,5;72;
100079;2023122816;95;9,5;70;
100080;2023122815;99;9,9;66;
100081;2023122814;104;10,4;65;
100082;2023122813;107;10,7;64;
100083;2023122812;103;10,3;63;
100084;2023122811;97;9,7;67;
100085;2023122810;88;8,8;71;
100086;2023122809;91;9,1;70;
100087;2023122808;89;8,9;70;
100088;2023122807;89;8,9;67;
100089;2023122806;87;8,7;62;
100090;2023122805;86;8,6;63;
100091;2023122804;82;8,2;63;
100092;2023122803;75;7,5;66;
100093;2023122802;58;5,8;79;
100094;2023122801;45;4,5;81;
100095;2023122800;42;4,2;83;
100096;2023122723;41;4,1;81;
100097;2023122722;41;4,1;81;
100098;2023122721;45;4,5;78;
100099;2023122720;47;4,7;77;
100100;2023122719;48;4,8;77;
100101;2023122718;40;4,0;79;
100102;2023122717;41;4,1;80;
100103;2023122716;42;4,2;80;
100104;2023122715;41;4,1;80;
100105;2023122714;45;4,5;79;
100106;2023122713;51;5,1;78;
100107;2023122712;48;4,8;75;
100108;2023122711;49;4,9;74;
100109;2023122710;50;5,0;77;
100110;2023122709;40;4,0;81;
100111;2023122708;36;3,6;83;
100112;2023122707;35;3,5;82;
100113;2023122706;33;3,3;81;
100114;2023122705;36;3,6;81;
100115;2023122704;41;4,1;80;
100116;2023122703;42;4,2;80;
100117;2023122702;44;4,4;79;
100118;2023122701;45;4,5;78;
100119;2023122700;55;5,5;75;
100120;2023122623;56;5,6;76;
