STATIONS_ID;MESS_DATUM;QUALITAETS_NIVEAU;STRUKTUR_VERSION;LUFTDRUCK_NN;LUFTDRUCK_STATIONSHOEHE;eor
399;2015082223;3;0;10192;10095;eor
399;2015091913;3;0;10192;10095;eor
399;2015092500;3;0;10192;10092;eor
399;2015092501;3;0;10192;10092;eor
399;2015092502;3;0;10192;10092;eor
399;2015092504;3;0;10192;10092;eor
399;2015101412;3;0;10192;10090;eor
399;2015101720;3;0;10192;10091;eor
399;2015101810;3;0;10192;10091;eor
399;2015101822;3;0;10192;10091;eor
399;2015101823;3;0;10192;10091;eor
399;2015102013;3;0;10192;10092;eor
399;2015102105;3;0;10192;10091;eor
399;2015110801;3;0;10192;10094;eor
399;2015110900;3;0;10192;10092;eor
399;2015111311;3;0;10192;10093;eor
399;2015111405;3;0;10192;10090;eor
399;2015111406;3;0;10192;10090;eor
399;2015112413;3;0;10192;10089;eor
399;2015121220;3;0;10192;10090;eor
399;2015121811;3;0;10192;10093;eor
399;2015122010;3;0;10192;10092;eor
399;2015122111;3;0;10192;10092;eor
399;2015122220;3;0;10192;10093;eor
399;2015122223;3;0;10192;10092;eor
399;2016012917;3;0;10192;10091;eor
399;2016031821;3;0;10192;10090;eor
399;2016031902;3;0;10192;10090;eor
399;2016032608;3;0;10192;10091;eor
399;2016041806;3;0;10192;10090;eor
399;2016042907;3;0;10192;10090;eor
399;2016042911;3;0;10192;10093;eor
399;2016050813;3;0;10192;10096;eor
399;2016062111;3;0;10192;10095;eor
399;2016070716;3;0;10192;10095;eor
399;2016071511;3;0;10192;10094;eor
399;2016071818;3;0;10192;10096;eor
399;2016080801;3;0;10192;10095;eor
399;2016081020;3;0;10192;10093;eor
399;2016081204;3;0;10192;10093;eor
399;2016090101;3;0;10192;10094;eor
399;2016090114;3;0;10192;10097;eor
399;2016090118;3;0;10192;10096;eor
399;2016090721;3;0;10192;10096;eor
399;2016091006;3;0;10192;10094;eor
399;2016091008;3;0;10192;10095;eor
399;2016091009;3;0;10192;10096;eor
399;2016091212;3;0;10192;10099;eor
399;2016091222;3;0;10192;10096;eor
399;2016091300;3;0;10192;10096;eor
399;2016092001;3;0;10192;10092;eor
399;2016092021;3;0;10192;10094;eor
399;2016092106;3;0;10192;10093;eor
399;2016092902;3;0;10192;10094;eor
399;2016100307;3;0;10192;10092;eor
399;2016100616;3;0;10192;10092;eor
399;2016100803;3;0;10192;10091;eor
399;2016100806;3;0;10192;10091;eor
399;2016101404;3;0;10192;10090;eor
399;2016102507;3;0;10192;10091;eor
399;2016110109;3;0;10192;10092;eor
399;2016112307;3;0;10192;10090;eor
399;2016112314;3;0;10192;10092;eor
399;2016121016;3;0;10192;10091;eor
399;2016121017;3;0;10192;10091;eor
399;2016122419;3;0;10192;10090;eor
399;2017030813;3;0;10192;10092;eor
399;2017032306;3;0;10192;10090;eor
399;2017032905;3;0;10192;10092;eor
399;2017041000;3;0;10192;10092;eor
399;2017041806;3;0;10192;10089;eor
399;2017051718;3;0;10192;10097;eor
399;2017052411;3;0;10192;10093;eor
399;2017052412;3;0;10192;10093;eor
399;2017060207;3;0;10192;10094;eor
399;2017061707;3;0;10192;10093;eor
399;2017070302;3;0;10192;10093;eor
399;2017070417;3;0;10192;10095;eor
399;2017070501;3;0;10192;10094;eor
399;2017070506;3;0;10192;10093;eor
399;2017070508;3;0;10192;10093;eor
399;2017070509;3;0;10192;10094;eor
399;2017070511;3;0;10192;10095;eor
399;2017071511;3;0;10192;10095;eor
399;2017071703;3;0;10192;10094;eor
399;2017071817;3;0;10192;10097;eor
399;2017071820;3;0;10192;10096;eor
399;2017080719;3;0;10192;10096;eor
399;2017082017;3;0;10192;10095;eor
399;2017082903;3;0;10192;10094;eor
399;2017090101;3;0;10192;10094;eor
399;2017092017;3;0;10192;10093;eor
399;2017100323;3;0;10192;10092;eor
399;2017100400;3;0;10192;10092;eor
399;2017100401;3;0;10192;10092;eor
399;2017100403;3;0;10192;10092;eor
399;2017102518;3;0;10192;10094;eor
399;2017110608;3;0;10192;10090;eor
399;2017112703;3;0;10192;10090;eor
399;2017112704;3;0;10192;10090;eor
399;2017120315;3;0;10192;10088;eor
399;2017121714;3;0;10192;10089;eor
399;2017122402;3;0;10192;10091;eor
399;2018010701;3;0;10192;10089;eor
399;2018012400;3;0;10192;10090;eor
399;2018020413;3;0;10192;10089;eor
399;2018020723;3;0;10192;10087;eor
399;2018020800;3;0;10192;10086;eor
399;2018032202;3;0;10192;10089;eor
399;2018040710;3;0;10192;10093;eor
399;2018041422;3;0;10192;10093;eor
399;2018042019;3;0;10192;10096;eor
399;2018042020;3;0;10192;10096;eor
399;2018042106;3;0;10192;10094;eor
399;2018042114;3;0;10192;10096;eor
399;2018042202;3;0;10192;10092;eor
399;2018050801;3;0;10192;10094;eor
399;2018050802;3;0;10192;10093;eor
399;2018051209;3;0;10192;10095;eor
399;2018052900;3;0;10192;10096;eor
399;2018061820;3;0;10192;10096;eor
399;2018061900;3;0;10192;10095;eor
399;2018062504;3;0;10192;10093;eor
399;2018063003;3;0;10192;10093;eor
399;2018070722;3;0;10192;10095;eor
399;2018070800;3;0;10192;10094;eor
399;2018070802;3;0;10192;10094;eor
399;2018070903;3;0;10192;10095;eor
399;2018071407;3;0;10192;10094;eor
399;2018071411;3;0;10192;10095;eor
399;2018080316;3;0;10192;10099;eor
399;2018080321;3;0;10192;10097;eor
399;2018080322;3;0;10192;10097;eor
399;2018080509;3;0;10192;10096;eor
399;2018080515;3;0;10192;10097;eor
399;2018080517;3;0;10192;10097;eor
399;2018080610;3;0;10192;10096;eor
399;2018081109;3;0;10192;10095;eor
399;2018081112;3;0;10192;10096;eor
399;2018081520;3;0;10192;10096;eor
399;2018082903;3;0;10192;10093;eor
399;2018083107;3;0;10192;10093;eor
399;2018090309;3;0;10192;10096;eor
399;2018090508;3;0;10192;10095;eor
399;2018091110;3;0;10192;10096;eor
399;2018091418;3;0;10192;10094;eor
399;2018091421;3;0;10192;10094;eor
399;2018091422;3;0;10192;10094;eor
399;2018092722;3;0;10192;10094;eor
399;2018101108;3;0;10192;10094;eor
399;2018101402;3;0;10192;10093;eor
399;2018101703;3;0;10192;10092;eor
399;2018101705;3;0;10192;10092;eor
399;2018101718;3;0;10192;10094;eor
399;2018101804;3;0;10192;10092;eor
399;2018103111;3;0;10192;10092;eor
399;2018110414;3;0;10192;10092;eor
399;2018111302;3;0;10192;10092;eor
399;2018112011;3;0;10192;10089;eor
399;2018112704;3;0;10192;10087;eor
399;2018121123;3;0;10192;10089;eor
399;2019011923;3;0;10192;10087;eor
399;2019022007;3;0;10192;10090;eor
399;2019032519;3;0;10192;10090;eor
399;2019042209;3;0;10192;10093;eor
399;2019043006;3;0;10192;10090;eor
399;2019043007;3;0;10192;10091;eor
399;2019043009;3;0;10192;10092;eor
399;2019051122;3;0;10192;10092;eor
399;2019060115;3;0;10192;10097;eor
399;2019060808;3;0;10192;10094;eor
399;2019060923;3;0;10192;10095;eor
399;2019061406;3;0;10192;10095;eor
399;2019062120;3;0;10192;10096;eor
399;2019062603;3;0;10192;10096;eor
399;2019062605;3;0;10192;10097;eor
399;2019062608;3;0;10192;10099;eor
399;2019072318;3;0;10192;10098;eor
399;2019072403;3;0;10192;10095;eor
399;2019082919;3;0;10192;10097;eor
399;2019091609;3;0;10192;10093;eor
399;2019091804;3;0;10192;10091;eor
399;2019092122;3;0;10192;10093;eor
399;2019100615;3;0;10192;10092;eor
399;2019100621;3;0;10192;10090;eor
399;2019100623;3;0;10192;10090;eor
399;2019100700;3;0;10192;10090;eor
399;2019100716;3;0;10192;10092;eor
