MESS_DATUM,WINDGESCHWINDIGKEIT,SONNENSCHEINDAUER,NIEDERSCHLAGSHOEHE,LUFTDRUCK_NN,LUFTTEMPERATUR,LUFTFEUCHTIGKEIT,NORD,SUED,RAD_GESAMT
2015-08-20 05:00:00,860.0,0.0,0,10237.0,15.0,63.0,9.0,17.0,26.0
2015-08-20 10:00:00,480.0,45.0,0,10244.0,24.0,30.0,506.0,607.0,1113.0
2015-08-20 19:00:00,420.0,0.0,0,10246.0,23.0,28.0,656.0,662.0,1318.0
2015-08-21 00:00:00,920.0,0.0,0,10255.0,19.0,41.0,176.0,168.0,344.0
2015-08-21 03:00:00,800.0,0.0,0,10255.0,17.0,49.0,54.0,28.0,82.0
2015-08-21 13:00:00,470.0,57.0,0,10250.0,27.0,23.0,273.0,207.0,480.0
2015-08-21 21:00:00,890.0,0.0,0,10246.0,21.0,37.0,282.0,391.0,673.0
2015-08-23 22:00:00,1550.0,0.0,0,10105.0,20.0,55.0,127.0,134.0,261.0
2015-08-24 01:00:00,1410.0,0.0,0,10089.0,18.0,63.0,58.0,56.0,114.0
2015-08-24 07:00:00,1320.0,0.0,"0,37",10087.0,17.0,91.0,43.0,94.0,137.0
2015-08-25 00:00:00,1240.0,0.0,0,10073.0,21.0,80.0,110.0,111.0,221.0
2015-08-25 05:00:00,1380.0,0.0,0,10097.0,17.0,93.0,7.0,3.0,10.0
2015-08-25 14:00:00,1210.0,32.0,0,10141.0,21.0,54.0,217.0,231.0,448.0
2015-08-26 06:00:00,1070.0,0.0,0,10172.0,16.0,70.0,16.0,44.0,60.0
2015-08-26 22:00:00,1290.0,0.0,0,10137.0,21.0,55.0,223.0,225.0,448.0
2015-08-27 01:00:00,1440.0,0.0,0,10126.0,19.0,56.0,133.0,118.0,251.0
2015-08-27 15:00:00,260.0,0.0,0,10108.0,25.0,49.0,306.0,291.0,597.0
2015-08-27 16:00:00,80.0,0.0,0,10103.0,25.0,49.0,366.0,340.0,706.0
2015-08-27 23:00:00,780.0,0.0,0,10110.0,18.0,83.0,146.0,226.0,372.0
2015-08-28 12:00:00,380.0,3.0,0,10183.0,18.0,66.0,204.0,202.0,406.0
2015-08-28 14:00:00,540.0,46.0,0,10188.0,20.0,55.0,276.0,242.0,518.0
2015-08-28 19:00:00,340.0,0.0,0,10204.0,18.0,66.0,479.0,505.0,984.0
2015-08-29 10:00:00,170.0,39.0,0,10252.0,22.0,48.0,135.0,117.0,252.0
2015-08-29 22:00:00,270.0,0.0,0,10226.0,19.0,62.0,178.0,148.0,326.0
2015-08-30 08:00:00,330.0,15.0,0,10205.0,22.0,54.0,34.0,27.0,61.0
2015-08-31 00:00:00,1160.0,0.0,0,10157.0,22.0,74.0,87.0,79.0,166.0
2015-08-31 03:00:00,990.0,0.0,0,10145.0,21.0,76.0,22.0,20.0,42.0
2015-08-31 11:00:00,390.0,60.0,0,10122.0,33.0,43.0,236.0,266.0,502.0
2015-08-31 23:00:00,720.0,0.0,0,10069.0,27.0,61.0,186.0,185.0,371.0
2015-09-01 00:00:00,1050.0,0.0,0,10069.0,27.0,62.0,119.0,120.0,239.0
2015-09-01 01:00:00,900.0,0.0,0,10061.0,25.0,67.0,72.0,83.0,155.0
2015-09-01 17:00:00,1350.0,0.0,"0,85",10084.0,19.0,88.0,542.0,366.0,908.0
2015-09-01 20:00:00,1270.0,0.0,0,10109.0,17.0,85.0,332.0,351.0,683.0
2015-09-01 21:00:00,1190.0,0.0,0,10116.0,17.0,85.0,206.0,233.0,439.0
2015-09-02 00:00:00,1200.0,0.0,0,10133.0,16.0,79.0,77.0,85.0,162.0
2015-09-02 14:00:00,690.0,52.0,0,10155.0,20.0,41.0,226.0,284.0,510.0
2015-09-02 18:00:00,650.0,0.0,0,10156.0,19.0,44.0,641.0,505.0,1146.0
2015-09-03 08:00:00,1020.0,0.0,0,10144.0,17.0,63.0,192.0,289.0,481.0
